Start Time,End Time,Experiment,Model,Temperature,Exam,Questions,Accuracy,Input Tokens,Output Tokens,Total Tokens,Tokens per Question,Total Cost,Cost per Question,Runtime,Runtime per Question
2023-11-14 14:08:33,2023-11-14 15:38:21,temp-0.4,llama-2-7b,0.4,comprehensive-100,100,0.28,86736,339629,426365,4263.65,0.0,0.0,5388.318419,53.88318419
2023-11-14 15:44:22,2023-11-14 17:24:19,temp-0.6,llama-2-7b,0.6,comprehensive-100,100,0.27,86736,337077,423813,4238.13,0.0,0.0,5997.326966,59.97326966
2023-11-14 15:43:48,2023-11-14 17:25:42,temp-0.5,llama-2-7b,0.5,comprehensive-100,100,0.25,86736,343067,429803,4298.03,0.0,0.0,6114.315752,61.14315752
2023-11-14 15:44:48,2023-11-14 17:26:56,temp-0.7,llama-2-7b,0.7,comprehensive-100,100,0.24,86736,345821,432557,4325.57,0.0,0.0,6128.88834,61.2888834
2023-11-14 15:45:18,2023-11-14 17:27:03,temp-0.8,llama-2-7b,0.8,comprehensive-100,100,0.22,86736,343376,430112,4301.12,0.0,0.0,6104.887787,61.04887787
2023-11-14 15:45:41,2023-11-14 17:27:44,temp-0.9,llama-2-7b,0.9,comprehensive-100,100,0.23,86736,343820,430556,4305.56,0.0,0.0,6122.821791,61.228217910000005
2023-11-14 15:46:09,2023-11-14 17:28:00,temp-1.0,llama-2-7b,1.0,comprehensive-100,100,0.22,86736,343346,430082,4300.82,0.0,0.0,6111.569893,61.11569893
2023-11-14 19:07:38,2023-11-14 23:13:10,temp-0.0,llama-2-70b,0.0,comprehensive-100,100,0.21,86736,346038,432774,4327.74,0.0,0.0,14732.139557,147.32139557
2023-11-14 20:03:16,2023-11-14 23:56:21,temp-0.7,llama-2-70b,0.7,comprehensive-100,100,0.27,86736,329624,416360,4163.6,0.0,0.0,13985.468305,139.85468305
2023-11-14 20:02:34,2023-11-14 23:56:45,temp-0.5,llama-2-70b,0.5,comprehensive-100,100,0.25,86736,331203,417939,4179.39,0.0,0.0,14050.693233,140.50693233
2023-11-14 20:02:54,2023-11-14 23:58:18,temp-0.6,llama-2-70b,0.6,comprehensive-100,100,0.26,86736,332980,419716,4197.16,0.0,0.0,14124.069731,141.24069731
2023-11-14 20:03:45,2023-11-14 23:59:42,temp-0.8,llama-2-70b,0.8,comprehensive-100,100,0.26,86736,334922,421658,4216.58,0.0,0.0,14156.756169,141.56756169
2023-11-14 20:01:52,2023-11-14 23:59:50,temp-0.3,llama-2-70b,0.3,comprehensive-100,100,0.27,86736,338051,424787,4247.87,0.0,0.0,14278.006564,142.78006564
2023-11-14 20:04:16,2023-11-15 00:00:00,temp-0.9,llama-2-70b,0.9,comprehensive-100,100,0.25,86736,334667,421403,4214.03,0.0,0.0,14143.605789,141.43605789
2023-11-14 20:02:10,2023-11-15 00:00:39,temp-0.4,llama-2-70b,0.4,comprehensive-100,100,0.25,86736,338296,425032,4250.32,0.0,0.0,14308.839417,143.08839417
2023-11-14 20:01:32,2023-11-15 00:00:41,temp-0.2,llama-2-70b,0.2,comprehensive-100,100,0.22,86736,340172,426908,4269.08,0.0,0.0,14348.612495,143.48612495
2023-11-14 20:00:55,2023-11-15 00:01:01,temp-0.1,llama-2-70b,0.1,comprehensive-100,100,0.2,86736,341657,428393,4283.93,0.0,0.0,14406.267841,144.06267841000002
2023-11-14 20:04:43,2023-11-15 00:01:08,temp-1.0,llama-2-70b,1.0,comprehensive-100,100,0.25,86736,336429,423165,4231.65,0.0,0.0,14185.52707,141.8552707
2023-12-01 20:14:07,2023-12-01 20:23:37,temp-1.1,gpt-35-turbo,1.1,comprehensive-100,100,0.57,75952,286733,362685,3626.85,0.6873940000000001,0.00687394,570.878197,5.70878197
2023-12-01 20:23:37,2023-12-01 20:33:21,temp-1.2,gpt-35-turbo,1.2,comprehensive-100,100,0.62,75952,285597,361549,3615.49,0.685122,0.00685122,583.790576,5.83790576
2023-12-01 20:33:21,2023-12-01 21:35:42,temp-1.3,gpt-35-turbo,1.3,comprehensive-100,100,0.53,72815,305484,378299,3782.99,0.7201905,0.007201905,3740.444591,37.40444591
2023-12-01 22:23:49,2023-12-02 06:46:11,temp-1.4,gpt-35-turbo,1.4,comprehensive-100,100,0.24,38792,204433,243225,2432.25,0.467054,0.00467054,30142.418688,301.42418688000004
