Start Time,End Time,Experiment,Model,Temperature,Exam,Questions,Accuracy,Input Tokens,Output Tokens,Total Tokens,Tokens per Question,Total Cost,Cost per Question,Runtime,Runtime per Question
2023-11-13 21:40:41,2023-11-13 22:16:54,temp-0.0,gpt-4,0.0,comprehensive-100,100,0.77,75552,296431,371983,3719.83,20.05242,0.2005241999999999,2172.543327,21.72543327
2023-11-13 22:16:54,2023-11-13 23:12:03,temp-0.1,gpt-4,0.1,comprehensive-100,100,0.8,74973,295927,370900,3709.0,20.00481,0.2000480999999999,3309.411948,33.09411948
2023-11-13 23:12:03,2023-11-14 00:27:36,temp-0.2,gpt-4,0.2,comprehensive-100,100,0.76,73651,286099,359750,3597.5,19.37547,0.1937547,4533.227021,45.33227021
2023-11-14 00:27:36,2023-11-14 01:26:21,temp-0.3,gpt-4,0.3,comprehensive-100,100,0.83,74973,295352,370325,3703.25,19.97031,0.1997030999999999,3524.50192,35.2450192
2023-11-14 01:26:21,2023-11-14 02:19:37,temp-0.4,gpt-4,0.4,comprehensive-100,100,0.8,75552,304100,379652,3796.52,20.51256,0.2051256,3195.925511,31.95925511
2023-11-14 02:19:37,2023-11-14 03:10:10,temp-0.5,gpt-4,0.5,comprehensive-100,100,0.77,75552,301291,376843,3768.43,20.34402,0.2034402,3033.358506,30.33358506
2023-11-14 03:10:10,2023-11-14 04:00:52,temp-0.6,gpt-4,0.6,comprehensive-100,100,0.82,75552,305772,381324,3813.24,20.61288,0.2061287999999999,3041.749295,30.41749295
2023-11-14 04:00:52,2023-11-14 04:52:58,temp-0.7,gpt-4,0.7,comprehensive-100,100,0.82,75552,306774,382326,3823.26,20.673,0.20673,3126.465927,31.264659270000003
2023-11-14 04:52:58,2023-11-14 05:47:23,temp-0.8,gpt-4,0.8,comprehensive-100,100,0.79,75552,306590,382142,3821.42,20.66196,0.2066196,3264.480387,32.644803870000004
2023-11-14 05:47:23,2023-11-14 06:49:12,temp-0.9,gpt-4,0.9,comprehensive-100,100,0.77,75552,311350,386902,3869.02,20.947560000000003,0.2094756,3708.684521,37.08684521
2023-11-14 06:49:12,2023-11-14 07:51:31,temp-1.0,gpt-4,1.0,comprehensive-100,100,0.81,75552,309385,384937,3849.37,20.82966,0.2082965999999999,3739.513408,37.39513408
2023-11-14 08:00:56,2023-11-14 09:30:52,temp-0.0,llama-2-7b,0.0,comprehensive-100,100,0.25,86736,338400,425136,4251.36,0.0,0.0,5396.643128,53.96643128
2023-11-14 09:30:52,2023-11-14 11:02:50,temp-0.1,llama-2-7b,0.1,comprehensive-100,100,0.23,86736,344632,431368,4313.68,0.0,0.0,5517.97627,55.1797627
2023-11-14 11:02:50,2023-11-14 12:36:52,temp-0.2,llama-2-7b,0.2,comprehensive-100,100,0.25,86736,352238,438974,4389.74,0.0,0.0,5641.372399,56.41372399
2023-11-14 12:36:52,2023-11-14 14:08:33,temp-0.3,llama-2-7b,0.3,comprehensive-100,100,0.29,86736,344759,431495,4314.95,0.0,0.0,5500.937971,55.009379710000005
