Start Time,End Time,Experiment,Model,Temperature,Exam,Questions,Accuracy,Input Tokens,Output Tokens,Total Tokens,Tokens per Question,Total Cost,Cost per Question,Runtime,Runtime per Question
2023-10-21 16:46:37,2023-10-21 16:47:58,temp-0.0,gpt-35-turbo,0.0,sat-math-100,100,0.46,33548,53380,86928,869.28,0.157082,0.00157082,80.589151,0.80589151
2023-10-21 16:47:58,2023-10-21 16:49:52,temp-0.1,gpt-35-turbo,0.1,sat-math-100,100,0.47,33548,56662,90210,902.1,0.163646,0.00163646,114.355635,1.14355635
2023-10-21 16:49:52,2023-10-21 16:53:25,temp-0.2,gpt-35-turbo,0.2,sat-math-100,100,0.44,33548,64848,98396,983.96,0.180018,0.00180018,213.391837,2.13391837
2023-10-21 16:53:25,2023-10-21 16:56:00,temp-0.3,gpt-35-turbo,0.3,sat-math-100,100,0.46,33548,60614,94162,941.62,0.17155,0.0017155,154.597117,1.54597117
2023-10-21 16:56:00,2023-10-21 16:58:37,temp-0.4,gpt-35-turbo,0.4,sat-math-100,100,0.47,33548,58337,91885,918.85,0.166996,0.00166996,156.702991,1.56702991
2023-10-21 16:58:37,2023-10-21 17:01:22,temp-0.5,gpt-35-turbo,0.5,sat-math-100,100,0.47,33548,59211,92759,927.59,0.168744,0.00168744,165.213273,1.65213273
2023-10-21 17:01:22,2023-10-21 17:03:58,temp-0.6,gpt-35-turbo,0.6,sat-math-100,100,0.46,33548,58346,91894,918.94,0.167014,0.0016701399999999,156.152794,1.56152794
2023-10-21 17:03:58,2023-10-21 17:06:48,temp-0.7,gpt-35-turbo,0.7,sat-math-100,100,0.49,33548,64334,97882,978.82,0.17899,0.0017899,169.520199,1.69520199
2023-10-21 17:06:48,2023-10-21 17:09:33,temp-0.8,gpt-35-turbo,0.8,sat-math-100,100,0.48,33548,62377,95925,959.25,0.175076,0.00175076,165.092186,1.65092186
2023-10-21 17:09:33,2023-10-21 17:12:30,temp-0.9,gpt-35-turbo,0.9,sat-math-100,100,0.46,33548,64542,98090,980.9,0.179406,0.00179406,176.8971,1.7689709999999998
2023-10-21 17:12:30,2023-10-21 17:15:32,temp-1.0,gpt-35-turbo,1.0,sat-math-100,100,0.45,33548,70315,103863,1038.63,0.190952,0.00190952,182.910698,1.82910698
